,point_id,x_pos,y_pos,z_pos
0,1,0.0,0.0,0.0
1,2,25.0,0.0,0.0
2,3,50.0,0.0,0.0
3,4,75.0,0.0,0.0
4,5,100.0,0.0,0.0
5,6,0.0,0.0,25.0
6,7,25.0,0.0,25.0
7,8,50.0,0.0,25.0
8,9,75.0,0.0,25.0
9,10,100.0,0.0,25.0
10,11,0.0,0.0,50.0
11,12,25.0,0.0,50.0
12,13,50.0,0.0,50.0
13,14,75.0,0.0,50.0
14,15,100.0,0.0,50.0
15,16,0.0,0.0,75.0
16,17,25.0,0.0,75.0
17,18,50.0,0.0,75.0
18,19,75.0,0.0,75.0
19,20,100.0,0.0,75.0
20,21,0.0,0.0,100.0
21,22,25.0,0.0,100.0
22,23,50.0,0.0,100.0
23,24,75.0,0.0,100.0
24,25,100.0,0.0,100.0
25,26,100.0,100.0,0.0
26,27,75.0,100.0,0.0
27,28,50.0,100.0,0.0
28,29,25.0,100.0,0.0
29,30,0.0,100.0,0.0
30,31,100.0,100.0,25.0
31,32,75.0,100.0,25.0
32,33,50.0,100.0,25.0
33,34,25.0,100.0,25.0
34,35,0.0,100.0,25.0
35,36,100.0,100.0,50.0
36,37,75.0,100.0,50.0
37,38,50.0,100.0,50.0
38,39,25.0,100.0,50.0
39,40,0.0,100.0,50.0
40,41,100.0,100.0,75.0
41,42,75.0,100.0,75.0
42,43,50.0,100.0,75.0
43,44,25.0,100.0,75.0
44,45,0.0,100.0,75.0
45,46,100.0,100.0,100.0
46,47,75.0,100.0,100.0
47,48,50.0,100.0,100.0
48,49,25.0,100.0,100.0
49,50,0.0,100.0,100.0
50,51,0.0,75.0,0.0
51,52,0.0,50.0,0.0
52,53,0.0,25.0,0.0
53,54,0.0,75.0,25.0
54,55,0.0,50.0,25.0
55,56,0.0,25.0,25.0
56,57,0.0,75.0,50.0
57,58,0.0,50.0,50.0
58,59,0.0,25.0,50.0
59,60,0.0,75.0,75.0
60,61,0.0,50.0,75.0
61,62,0.0,25.0,75.0
62,63,0.0,75.0,100.0
63,64,0.0,50.0,100.0
64,65,0.0,25.0,100.0
65,66,100.0,25.0,0.0
66,67,100.0,50.0,0.0
67,68,100.0,75.0,0.0
68,69,100.0,25.0,25.0
69,70,100.0,50.0,25.0
70,71,100.0,75.0,25.0
71,72,100.0,25.0,50.0
72,73,100.0,50.0,50.0
73,74,100.0,75.0,50.0
74,75,100.0,25.0,75.0
75,76,100.0,50.0,75.0
76,77,100.0,75.0,75.0
77,78,100.0,25.0,100.0
78,79,100.0,50.0,100.0
79,80,100.0,75.0,100.0
80,81,25.0,25.0,100.0
81,82,50.0,25.0,100.0
82,83,75.0,25.0,100.0
83,84,25.0,50.0,100.0
84,85,50.0,50.0,100.0
85,86,75.0,50.0,100.0
86,87,25.0,75.0,100.0
87,88,50.0,75.0,100.0
88,89,75.0,75.0,100.0
89,90,25.0,75.0,0.0
90,91,50.0,75.0,0.0
91,92,75.0,75.0,0.0
92,93,25.0,50.0,0.0
93,94,50.0,50.0,0.0
94,95,75.0,50.0,0.0
95,96,25.0,25.0,0.0
96,97,50.0,25.0,0.0
97,98,75.0,25.0,0.0
