,source,target,dist,tol
0,1,2,9.08,0.015
1,1,3,6.48,0.015
2,1,4,8.85,0.015
3,1,5,12.05,0.02
4,1,6,15.77,0.02
5,1,8,2.03,0.01
6,1,9,4.45,0.01
7,1,21,2.72,0.01
8,1,22,4.09,0.01
9,1,23,4.49,0.01
10,1,45,10.9,0.02
11,2,3,3.47,0.01
12,2,4,6.96,0.015
13,2,5,11.08,0.02
14,2,8,7.135,0.015
15,2,26,1.14,0.01
16,2,29,3.34,0.01
17,2,33,12.18,0.02
18,2,46,9.5,0.015
19,3,4,4.43,0.01
20,3,7,11.69,0.02
21,3,8,4.56,0.01
22,3,9,5.75,0.015
23,3,10,7.98,0.015
24,3,13,5.87,0.015
25,3,14,2.78,0.01
26,3,15,3.3,0.01
27,3,17,5.85,0.015
28,3,18,2.91,0.01
29,3,19,3.71,0.01
30,3,20,4.15,0.01
31,3,21,4.34,0.01
32,3,22,4.69,0.01
33,3,23,5.2,0.015
34,3,24,1.16,0.01
35,3,25,8.04,0.015
36,3,26,2.38,0.01
37,3,27,3.8,0.01
38,3,28,2.16,0.01
39,3,30,6.46,0.015
40,3,31,2.07,0.01
41,3,33,8.97,0.015
42,3,35,3.3,0.01
43,4,5,4.27,0.01
44,4,7,8.09,0.015
45,4,9,5.61,0.015
46,4,10,5.99,0.015
47,4,14,5.12,0.015
48,4,16,3.1,0.01
49,4,18,2.28,0.01
50,4,20,1.93,0.01
51,4,21,6.185,0.015
52,4,22,5.14,0.015
53,4,23,5.14,0.015
54,4,26,5.94,0.015
55,4,27,3.55,0.01
56,4,29,3.68,0.01
57,4,30,5.42,0.015
58,4,33,5.85,0.015
59,4,34,3.64,0.01
60,4,35,6.91,0.015
61,4,36,4.53,0.01
62,4,39,1.58,0.01
63,4,42,4.47,0.01
64,4,45,7.48,0.015
65,4,46,5.06,0.015
66,5,7,5.45,0.015
67,5,8,10.95,0.02
68,5,9,7.9,0.015
69,5,10,6.39,0.015
70,5,11,6.18,0.015
71,5,13,3.53,0.01
72,5,16,2.24,0.01
73,5,17,4.79,0.01
74,5,21,9.5,0.015
75,5,22,8.0,0.015
76,5,25,3.52,0.01
77,5,30,7.06,0.015
78,5,33,4.75,0.01
79,5,41,3.16,0.01
80,5,43,1.71,0.01
81,5,45,11.3,0.02
82,5,46,4.56,0.01
83,6,7,5.61,0.015
84,6,33,6.96,0.015
85,7,11,3.18,0.01
86,7,33,2.97,0.01
87,8,14,2.85,0.01
88,8,15,1.95,0.01
89,8,21,1.59,0.01
90,8,26,6.27,0.015
91,8,28,3.22,0.01
92,8,29,6.66,0.015
93,8,32,1.02,0.01
94,8,34,4.25,0.01
95,8,35,2.43,0.01
96,9,23,0.6,0.01
97,9,33,5.07,0.015
98,10,11,1.88,0.01
99,10,27,4.73,0.01
100,10,30,1.85,0.01
101,10,33,2.29,0.01
102,11,17,4.5,0.01
103,11,23,5.21,0.015
104,11,33,1.51,0.01
105,12,14,1.62,0.01
106,12,19,1.51,0.01
107,12,21,0.83,0.01
108,12,24,3.26,0.01
