point_num,x_pos,y_pos,z_pos,x_tol,y_tol,z_tol
1,0,0,0,0,0,0 
2,0,9.08269,0.457727,0,0.05,0.05 
3,1.86215,6.19541,0,0.05,0.05,0 
4, 6.2944,6.22432,0,0.05,0.05,0 
5,10.5405,5.83542,0,0.05,0.05,0 
6,14.7709, 5.5672,0,0.05,0.05,0 
7,12.1389,0.621306,0,0.05,0.05,0 
8,0.320356,1.94195,0.468636,0.05,0.05,0.05 
9,4.28999,1.00768,0.452552,0.05,0.05,0.05 
10,7.26707,0.332391,0.427677,0.05,0.05,0.05 
11,9.08817,-0.175456,0.494264,0.05,0.05,0.05 
12,1.95937,2.42375,1.06781,0.05,0.05,0.05 
13, 7.5294,7.60115,0.550506,0.05,0.05,0.05 
14,2.00606,3.93827, 1.6106,0.05,0.05,0.05 
15,1.01667,3.41421,1.54771,0.05,0.05,0.05 
16,9.09877,7.38031,0.647961,0.05,0.05,0.05 
17,6.74135,3.45496,1.69065,0.05,0.05,0.05 
18,4.45927,5.60715,1.17079,0.05,0.05,0.05 
19,3.21885,3.10606,1.53348,0.05,0.05,0.05 
20,5.57475,7.90012,0.622038,0.05,0.05,0.05 
21,1.91308,1.87594,0.458109,0.05,0.05,0.05 
22,3.59896,1.87898,0.471685,0.05,0.05,0.05 
23,4.17058,1.56855,0.480218,0.05,0.05,0.05 
24,1.90787,5.68942,1.03761,0.05,0.05,0.05 
25, 9.0971,3.16062,1.76552,0.05,0.05,0.05 
26,0.720484,8.20296,0.574143,0.05,0.05,0.05 
27, 4.2936,3.78612,1.65278,0.05,0.05,0.05 
28,1.01451,4.90702,1.51099,0.05,0.05,0.05 
29, 3.1312,7.99355,0.587303,0.05,0.05,0.05 
30,5.49236,0.872235,0.416911,0.05,0.05,0.05 
31,0.165471,5.70108,1.08596,0.05,0.05,0.05 
32,0.069756,2.62056, 1.1856,0.05,0.05,0.05 
33,9.31923,1.28512,0.617993,0.05,0.05,0.05 
34,3.32038, 4.7553, 1.5021,0.05,0.05,0.05 
35,-0.0664306,4.05229,1.61102,0.05,0.05,0.05 
36,4.16222,2.42141,1.19892,0.05,0.05,0.05 
37,5.45299,2.66833,1.57879,0.05,0.05,0.05 
38,5.89785,4.56778,1.46243,0.05,0.05,0.05 
39,7.02821,5.41172,1.14301,0.05,0.05,0.05 
40,6.34309,1.99613,1.28639,0.05,0.05,0.05 
41,8.11343,4.52508,1.51824,0.05,0.05,0.05 
42,7.52156,2.25554,1.60238,0.05,0.05,0.05 
43,9.58477,5.12799,1.22868,0.05,0.05,0.05 
44,8.77797,1.33334,1.16808,0.05,0.05,0.05 
45,0.426938,10.8616,0.123824,0.05,0.05,0.05 
46,9.41982,10.1806,0.512632,0.05,0.05,0.05 
