,point_num,x_pos,y_pos,z_pos,x_tol,y_tol,z_tol
0,1,0,0,0,0,0,0
1,2,8.70408,-1.9181,-2.98048,0.000823974,0.00258796,0.00137081
2,3,6.04451,0.315022,0,0.000203114,0.00176424,0
3,4,7.08514,4.11705,0,0.00117238,0.00210839,0
4,5,8.19754,8.73,0,0.002389,0.00268284,0
5,6,0.919926,14.9748,0,0.00479619,0.00116191,0
6,7,4.20538,11.4686,0,0.00392351,0.00220571,0
7,8,1.7564,1.0309,-0.619592,0.00031596,0.000569633,0.000352877
8,9,2.22095,3.66772,-0.787283,0.00133285,0.000718282,0.000638993
9,10,1.01204,6.02697,-0.702288,0.00272992,0.00160081,0.00148342
10,11,1.97752,10.063,4.37179,0.00439305,0.003562,0.00221583
11,12,2.08864,0.944336,1.27641,0.00063443,0.000710571,0.000906772
12,13,7.86519,5.41322,0.729783,0.00569184,0.00349638,0.0081743
13,14,3.73763,0.66091,0.571248,0.000406512,0.000989971,0.000481185
14,15,3.23621,-0.020256,-0.383703,0.000405774,0.00089937,0.000657292
15,16,10.2539,6.02024,1.41784,0.00455286,0.00408747,0.00589397
16,17,5.06859,5.59106,-0.92712,0.0016854,0.00140718,0.00067488
17,18,6.00459,2.23916,0.189905,0.000808305,0.00178422,0.000833084
18,19,3.48343,1.88711,0.345583,0.000846882,0.00121456,0.00123599
19,20,8.36076,3.99165,0.166676,0.0012229,0.00260288,0.00145479
20,21,1.96666,1.51469,0.790938,0.000674948,0.000539993,0.000345564
21,22,2.81747,2.73131,0.849415,0.000847287,0.000842737,0.000388388
22,23,2.19769,3.30069,-1.04301,0.00133943,0.000603769,0.000641815
23,24,4.84544,0.638694,-1.30016,0.000450016,0.00173699,0.00116357
24,25,4.80731,8.11003,-1.20581,0.00260205,0.00175626,0.000959381
25,26,8.07128,-0.814905,-2.42495,0.00073241,0.00235309,0.00244955
26,27,4.33992,2.92257,0.699222,0.000957299,0.0014669,0.000619466
27,28,4.30348,-1.13731,-0.186033,0.000593175,0.00136254,0.000695849
28,29,8.14283,1.25091,-2.38301,0.000522876,0.00245635,0.00111896
29,30,2.13901,4.91836,0.114268,0.00170905,0.000870357,0.000900819
30,31,5.1769,-0.93639,-1.56736,0.000499095,0.00145074,0.00100704
31,32,2.12571,-1.35188,-1.68098,0.000701311,0.000755327,0.00092609
32,33,3.59314,8.50374,0.265968,0.00248955,0.00120323,0.000561304
33,34,5.04576,1.91346,1.43855,0.000609101,0.00152608,0.00110816
34,35,3.46278,-0.506502,-1.4037,0.000328471,0.00100569,0.000569504
35,36,3.12243,2.90933,-0.0824423,0.00104877,0.00115362,0.00140176
36,37,3.74694,4.61136,-1.15963,0.0015963,0.00162977,0.00314074
37,38,5.65297,4.70899,-1.92554,0.0022197,0.00207015,0.00245073
38,39,6.12615,5.22932,-2.87444,0.00169856,0.0020862,0.00250672
39,40,3.1929,5.64171,-0.805636,0.00183293,0.00127411,0.00104337
40,41,5.94282,6.63489,-0.64412,0.002045,0.00194667,0.00121596
41,42,4.27054,7.01438,-1.2113,0.00215533,0.0013534,0.00152542
42,43,7.43457,8.17228,-0.5347,0.00222814,0.00239544,0.00216156
43,44,4.23985,7.95341,0.328586,0.00274324,0.00167512,0.00239215
44,45,9.72442,-2.14968,-2.3245,0.00109337,0.00306848,0.00697414
45,46,11.1843,7.07539,-2.79096,0.00602819,0.0031438,0.00235734
