,point_num,x_pos,y_pos,z_pos,x_tol,y_tol,z_tol
0,1,0,0,0,0,0,0
1,2,21.723,2.06408,3.49519,0.351844,0.351844,0.351844
2,3,56.5831,-7.02477,5.1617,0.351844,0.351844,0.351844
3,4,70.0294,-1.29352,2.11022,0.351844,0.351844,0.351844
4,5,100,0,0,0,0,0
5,6,-1.54857,2.66405,29.0437,0.351844,0.351844,0.351844
6,7,24.9383,3.17788,25.1127,0.351844,0.351844,0.351844
7,8,48.6044,-0.533311,25.7187,0.351844,0.351844,0.351844
8,9,67.1704,-0.332288,20.1934,0.351844,0.351844,0.351844
9,10,93.5364,-1.20048,14.1961,0.351844,0.351844,0.351844
10,11,-1.33373,-7.82369,64.8221,0.351844,0.351844,0.351844
11,12,19.5974,4.54703,48.675,0.351844,0.351844,0.351844
12,13,48.701,1.31989,50.2553,0.351844,0.351844,0.351844
13,14,71.3039,0.831313,54.9016,0.351844,0.351844,0.351844
14,15,99.988,2.22863,48.0982,0.351844,0.351844,0.351844
15,16,-4.52895,2.66485,76.9303,0.351844,0.351844,0.351844
16,17,27.2628,2.37754,71.2751,0.351844,0.351844,0.351844
17,18,53.0288,-0.135764,76.6023,0.351844,0.351844,0.351844
18,19,86.113,8.07454,85.0174,0.351844,0.351844,0.351844
19,20,96.7801,-3.95703,64.8627,0.351844,0.351844,0.351844
20,21,0,0,100,0,0,0
21,22,25.1526,-1.24035,103.185,0.351844,0.351844,0.351844
22,23,56.9781,0.189818,102.687,0.351844,0.351844,0.351844
23,24,79.3377,12.4618,105.142,0.351844,0.351844,0.351844
24,25,103.107,-5.96936,87.4075,0.351844,0.351844,0.351844
25,26,89.921,100.685,-5.52103,0.351844,0.351844,0.351844
26,27,75.7617,98.6313,5.87951,0.351844,0.351844,0.351844
27,28,52.0793,97.3101,-6.27778,0.351844,0.351844,0.351844
28,29,24.3984,104.275,0.06251,0.351844,0.351844,0.351844
29,30,0,100,0,0,0,0
30,31,89.892,94.0399,13.7754,0.351844,0.351844,0.351844
31,32,73.1003,94.2606,19.8322,0.351844,0.351844,0.351844
32,33,52.7718,100.898,23.8735,0.351844,0.351844,0.351844
33,34,28.8536,99.6215,23.1437,0.351844,0.351844,0.351844
34,35,7.37564,107.393,30.9362,0.351844,0.351844,0.351844
35,36,96.836,97.7789,47.3977,0.351844,0.351844,0.351844
36,37,69.873,104.315,52.4455,0.351844,0.351844,0.351844
37,38,56.1284,102.396,48.5449,0.351844,0.351844,0.351844
38,39,26.7281,89.3054,60.8513,0.351844,0.351844,0.351844
39,40,-2.98425,95.8769,54.1712,0.351844,0.351844,0.351844
40,41,92.7611,101.699,71.714,0.351844,0.351844,0.351844
41,42,79.3892,100.234,74.5738,0.351844,0.351844,0.351844
42,43,45.4951,93.9356,79.0112,0.351844,0.351844,0.351844
43,44,30.5478,103.225,72.3817,0.351844,0.351844,0.351844
44,45,-5.69035,105.72,62.2071,0.351844,0.351844,0.351844
45,46,102.784,100.901,100.87,0.351844,0.351844,0.351844
46,47,70.6551,99.3098,101.485,0.351844,0.351844,0.351844
47,48,48.3519,108.527,95.0931,0.351844,0.351844,0.351844
48,49,28.3467,102.88,98.965,0.351844,0.351844,0.351844
49,50,-2.55921,104.314,96.2167,0.351844,0.351844,0.351844
50,51,-0.274797,77.9191,2.32912,0.351844,0.351844,0.351844
51,52,-1.57298,49.9176,3.65953,0.351844,0.351844,0.351844
52,53,4.62742,24.7334,-6.62165,0.351844,0.351844,0.351844
53,54,3.17552,77.4575,31.6667,0.351844,0.351844,0.351844
54,55,-3.13877,45.7275,30.3853,0.351844,0.351844,0.351844
55,56,3.69982,22.8082,26.7079,0.351844,0.351844,0.351844
56,57,-2.54066,63.6612,56.7565,0.351844,0.351844,0.351844
57,58,-2.1676,51.3307,50.4198,0.351844,0.351844,0.351844
58,59,3.471,27.9074,51.1455,0.351844,0.351844,0.351844
59,60,0.747146,74.4656,77.9795,0.351844,0.351844,0.351844
60,61,-4.65653,46.9923,67.5443,0.351844,0.351844,0.351844
61,62,8.71026,7.18747,69.2921,0.351844,0.351844,0.351844
62,63,4.74194,71.0199,105.655,0.351844,0.351844,0.351844
63,64,-7.54461,50.3223,93.0271,0.351844,0.351844,0.351844
64,65,4.52358,25.3763,105.042,0.351844,0.351844,0.351844
65,66,96.2541,21.5479,-1.60042,0.351844,0.351844,0.351844
66,67,97.2839,51.4311,-1.26721,0.351844,0.351844,0.351844
67,68,100.599,74.5591,-5.07435,0.351844,0.351844,0.351844
68,69,98.2941,21.9999,28.3999,0.351844,0.351844,0.351844
69,70,102.008,49.8831,23.0875,0.351844,0.351844,0.351844
70,71,98.542,73.4959,25.2396,0.351844,0.351844,0.351844
71,72,94.1977,21.737,45.2876,0.351844,0.351844,0.351844
72,73,101.757,50.4335,51.0932,0.351844,0.351844,0.351844
73,74,102.832,73.4257,46.8765,0.351844,0.351844,0.351844
74,75,105.966,27.5367,65.0316,0.351844,0.351844,0.351844
75,76,101.468,52.0888,75.2593,0.351844,0.351844,0.351844
76,77,94.1993,83.6446,63.4996,0.351844,0.351844,0.351844
77,78,101.796,26.931,99.5537,0.351844,0.351844,0.351844
78,79,101.996,50.3829,98.6347,0.351844,0.351844,0.351844
79,80,100.134,95.2605,83.1054,0.351844,0.351844,0.351844
80,81,19.1991,35.2563,94.5785,0.351844,0.351844,0.351844
81,82,45.9211,20.9693,99.2962,0.351844,0.351844,0.351844
82,83,76.2794,26.5342,98.3503,0.351844,0.351844,0.351844
83,84,34.858,54.1398,100.057,0.351844,0.351844,0.351844
84,85,50.8581,53.9764,100.639,0.351844,0.351844,0.351844
85,86,72.2984,39.4212,99.524,0.351844,0.351844,0.351844
86,87,35.3133,67.9646,109.114,0.351844,0.351844,0.351844
87,88,58.7976,71.6846,99.696,0.351844,0.351844,0.351844
88,89,76.6502,85.907,96.6091,0.351844,0.351844,0.351844
89,90,25.7714,75.0808,-0.194645,0.351844,0.351844,0.351844
90,91,50.2285,74.9266,2.81549,0.351844,0.351844,0.351844
91,92,78.0743,75.832,3.0071,0.351844,0.351844,0.351844
92,93,19.9625,54.5855,3.14888,0.351844,0.351844,0.351844
93,94,48.3455,51.2829,1.53214,0.351844,0.351844,0.351844
94,95,75.1915,47.1983,1.9937,0.351844,0.351844,0.351844
95,96,29.1746,12.4543,14.7836,0.351844,0.351844,0.351844
96,97,52.9916,23.7553,2.36308,0.351844,0.351844,0.351844
97,98,77.8549,20.2669,0.071936,0.351844,0.351844,0.351844
