,point_num,x_pos,y_pos,z_pos,x_tol,y_tol,z_tol
0,1,0,0,0,0,0,0
1,2,24.9523,0.276089,0.638868,52.6909,52.6909,52.6909
2,3,49.8663,0.14785,0.746921,52.6909,52.6909,52.6909
3,4,74.5885,-0.102428,0.859395,52.6909,52.6909,52.6909
4,5,100,0,0,0,0,0
5,6,0.150441,0.676681,24.9583,52.6909,52.6909,52.6909
6,7,24.9536,0.899272,25.2051,52.6909,52.6909,52.6909
7,8,49.5884,0.780871,25.2065,52.6909,52.6909,52.6909
8,9,74.3249,0.49687,25.3447,52.6909,52.6909,52.6909
9,10,99.1085,0.0439932,24.8245,52.6909,52.6909,52.6909
10,11,0.492495,0.653332,49.9099,52.6909,52.6909,52.6909
11,12,24.9396,1.12084,49.9644,52.6909,52.6909,52.6909
12,13,49.7941,1.06598,49.9757,52.6909,52.6909,52.6909
13,14,74.516,0.752536,50.0648,52.6909,52.6909,52.6909
14,15,99.0346,0.22838,50.3008,52.6909,52.6909,52.6909
15,16,0.0420681,0.74497,74.4248,52.6909,52.6909,52.6909
16,17,24.8286,0.703305,74.8046,52.6909,52.6909,52.6909
17,18,49.7523,0.840255,74.3709,52.6909,52.6909,52.6909
18,19,74.4709,0.744189,74.9192,52.6909,52.6909,52.6909
19,20,99.0465,0.379676,74.857,52.6909,52.6909,52.6909
20,21,0,0,100,0,0,0
21,22,24.7317,0.447354,99.4017,52.6909,52.6909,52.6909
22,23,49.6237,0.785701,99.1158,52.6909,52.6909,52.6909
23,24,74.2214,0.736616,99.4653,52.6909,52.6909,52.6909
24,25,99.1258,0.283414,99.3858,52.6909,52.6909,52.6909
25,26,99.8767,98.7954,0.102736,52.6909,52.6909,52.6909
26,27,75.3789,98.7421,-0.174043,52.6909,52.6909,52.6909
27,28,50.1432,98.7874,0.0300816,52.6909,52.6909,52.6909
28,29,25.1484,98.7956,0.109126,52.6909,52.6909,52.6909
29,30,0,100,0,0,0,0
30,31,99.3077,98.9026,24.5522,52.6909,52.6909,52.6909
31,32,74.9396,98.4895,24.8722,52.6909,52.6909,52.6909
32,33,50.0997,98.3065,24.7448,52.6909,52.6909,52.6909
33,34,25.2956,98.7826,24.894,52.6909,52.6909,52.6909
34,35,0.310225,98.9395,24.535,52.6909,52.6909,52.6909
35,36,99.5111,98.9285,49.5565,52.6909,52.6909,52.6909
36,37,74.7251,98.551,49.8464,52.6909,52.6909,52.6909
37,38,50.0673,98.3938,49.6697,52.6909,52.6909,52.6909
38,39,25.5268,98.76,49.6166,52.6909,52.6909,52.6909
39,40,0.913957,99.2832,49.2685,52.6909,52.6909,52.6909
40,41,99.3974,99.0067,74.415,52.6909,52.6909,52.6909
41,42,74.6995,98.7749,74.3958,52.6909,52.6909,52.6909
42,43,50.2094,98.9266,74.2747,52.6909,52.6909,52.6909
43,44,25.2767,98.8826,74.3774,52.6909,52.6909,52.6909
44,45,0.633241,99.4657,73.9697,52.6909,52.6909,52.6909
45,46,99.5952,99.2122,99.0816,52.6909,52.6909,52.6909
46,47,74.8335,99.1961,99.1068,52.6909,52.6909,52.6909
47,48,49.8656,99.285,98.7887,52.6909,52.6909,52.6909
48,49,25.4417,99.3761,98.9054,52.6909,52.6909,52.6909
49,50,0.410303,99.797,98.8315,52.6909,52.6909,52.6909
50,51,0.586481,74.4788,0.334367,52.6909,52.6909,52.6909
51,52,0.866943,49.8214,0.377104,52.6909,52.6909,52.6909
52,53,0.433828,25.0578,0.442101,52.6909,52.6909,52.6909
53,54,0.986824,74.5545,24.878,52.6909,52.6909,52.6909
54,55,1.23535,49.87,24.9508,52.6909,52.6909,52.6909
55,56,0.958538,25.1579,25.0713,52.6909,52.6909,52.6909
56,57,1.05631,74.5686,49.7023,52.6909,52.6909,52.6909
57,58,1.23605,49.9624,49.7531,52.6909,52.6909,52.6909
58,59,1.02633,25.2864,49.723,52.6909,52.6909,52.6909
59,60,0.749554,74.8972,74.2346,52.6909,52.6909,52.6909
60,61,0.967896,50.0585,74.2549,52.6909,52.6909,52.6909
61,62,0.598993,25.4149,74.444,52.6909,52.6909,52.6909
62,63,0.374845,74.8349,98.9258,52.6909,52.6909,52.6909
63,64,0.323414,50.3271,98.8989,52.6909,52.6909,52.6909
64,65,0.0517945,25.3636,99.1712,52.6909,52.6909,52.6909
65,66,99.2102,24.5628,0.584107,52.6909,52.6909,52.6909
66,67,99.3131,49.4673,0.554451,52.6909,52.6909,52.6909
67,68,99.5727,74.6366,0.147669,52.6909,52.6909,52.6909
68,69,98.9247,24.6091,25.2359,52.6909,52.6909,52.6909
69,70,98.634,49.3689,25.1409,52.6909,52.6909,52.6909
70,71,98.802,74.2593,24.9269,52.6909,52.6909,52.6909
71,72,98.6021,25.0479,50.009,52.6909,52.6909,52.6909
72,73,98.5552,49.6211,49.7656,52.6909,52.6909,52.6909
73,74,98.8156,74.2915,49.7488,52.6909,52.6909,52.6909
74,75,98.7663,24.8406,74.6389,52.6909,52.6909,52.6909
75,76,98.6392,49.6605,74.5355,52.6909,52.6909,52.6909
76,77,98.8106,74.5503,74.3557,52.6909,52.6909,52.6909
77,78,99.1932,24.935,99.4562,52.6909,52.6909,52.6909
78,79,99.0954,49.9911,98.9703,52.6909,52.6909,52.6909
79,80,99.1312,74.4232,99.3174,52.6909,52.6909,52.6909
80,81,24.8629,25.5999,98.8514,52.6909,52.6909,52.6909
81,82,49.5369,25.2526,98.5676,52.6909,52.6909,52.6909
82,83,74.1977,25.2947,98.9919,52.6909,52.6909,52.6909
83,84,25.2369,50.1812,98.6509,52.6909,52.6909,52.6909
84,85,49.9108,49.8191,98.3456,52.6909,52.6909,52.6909
85,86,74.2382,50.0127,98.6759,52.6909,52.6909,52.6909
86,87,25.0386,74.9248,98.772,52.6909,52.6909,52.6909
87,88,49.9056,74.4987,98.7273,52.6909,52.6909,52.6909
88,89,74.6579,74.7066,98.6586,52.6909,52.6909,52.6909
89,90,25.304,74.3888,0.626482,52.6909,52.6909,52.6909
90,91,49.8008,74.1817,0.938617,52.6909,52.6909,52.6909
91,92,74.9737,74.4129,0.783219,52.6909,52.6909,52.6909
92,93,25.3742,49.757,0.792286,52.6909,52.6909,52.6909
93,94,50.0169,49.2669,1.08247,52.6909,52.6909,52.6909
94,95,74.6352,49.4226,1.04086,52.6909,52.6909,52.6909
95,96,25.376,24.8315,0.660551,52.6909,52.6909,52.6909
96,97,49.7003,25.074,1.08162,52.6909,52.6909,52.6909
97,98,74.4804,24.7691,1.00789,52.6909,52.6909,52.6909
