,source,target,dist,tol,changed
935,1,4,74.91209200998163,0.21403454431925656,False
790,1,10,102.61607363483515,0.2931887759500391,False
814,1,11,49.997483090942026,0.14284994883140675,False
290,1,15,111.84301430950707,0.3195514630647051,False
741,1,19,105.59082452610853,0.30168806404083437,False
799,1,29,103.229304874705,0.29494086517176826,False
538,1,36,149.779385578208,0.42794109309320083,False
518,1,37,135.215685958185,0.3863305235824893,False
565,1,38,122.55235976390661,0.35014959232245546,False
748,1,49,143.57410024231285,0.4102117067738024,False
216,1,55,56.20702407037578,0.16059149413210083,False
137,1,59,55.88167277413333,0.15966191901857105,False
545,1,62,79.29249922935182,0.2265499932671481,False
300,1,75,127.99004700241936,0.36568584126462406,False
445,1,81,105.85331880787734,0.3024380476880313,False
643,1,83,128.06298709553576,0.3658942415265029,False
328,1,85,122.82898440399636,0.3509399484211905,False
527,1,87,127.49028948010414,0.3642579626579953,False
92,2,8,35.594907488522516,0.10169973364749818,False
405,2,19,90.06274966512652,0.25732213675391863,False
314,2,23,103.85573440465706,0.2967306637929782,False
303,2,24,111.94151820663387,0.31983290276515286,False
726,2,27,111.47832398592159,0.31850949073244317,False
621,2,29,100.15714485542404,0.28616326529223185,False
654,2,31,127.51059849898677,0.3643159884250708,False
447,2,34,103.43386870341743,0.29552533324211444,False
609,2,42,135.04870801626492,0.3858534437579736,False
498,2,47,149.88456292865442,0.4282415998027519,False
94,2,52,55.670466864461545,0.15905847357443487,False
378,2,64,114.56155897533675,0.32731873338315876,False
240,2,72,93.78471053855324,0.2679563104653115,False
728,2,74,117.04423899881876,0.3344121047369542,False
636,2,76,117.41997622291912,0.3354856396414846,False
614,2,81,102.48335655375226,0.29280958429738607,False
426,2,86,122.57498228192178,0.3502142280869204,False
286,2,88,127.73048956475215,0.3649442486004067,False
893,2,89,133.56170421574356,0.38160486155574136,False
272,3,6,55.790920094689035,0.15940262565391608,False
244,3,7,35.321416213134746,0.10091833001916121,False
160,3,10,55.926984271795966,0.15979138043787508,False
456,3,15,70.66450216578524,0.2018985735785577,False
793,3,22,102.98747860171693,0.2942499329770496,False
629,3,30,111.86465808303022,0.31961330241639163,False
353,3,34,106.5338097974019,0.3043823076192163,False
461,3,49,144.04004015665535,0.4115429636452987,False
696,3,57,103.09133850976238,0.29454667556553027,False
385,3,59,75.0721994827995,0.21449199423244433,False
896,3,64,122.36514833135666,0.34961470252586774,False
743,3,71,93.16188002479268,0.2661767947473002,False
744,3,74,102.6740186738722,0.2933543332011195,False
555,3,75,94.00219492705058,0.2685776944200191,False
669,3,76,103.19094117471,0.2948312546025463,False
892,3,78,114.50289960871412,0.32715113519616035,False
941,3,82,102.60453109919766,0.2931557972774486,False
827,3,84,114.14551015293127,0.32613002248577444,False
922,3,94,49.669344835565354,0.14191241097765273,False
625,3,96,35.39732022459559,0.10113519861899767,False
867,4,5,25.03397085275505,0.07152562957735895,False
714,4,11,89.67199363544407,0.25620569097715484,False
104,4,18,78.89245752826484,0.2254070170011877,False
433,4,36,114.59989119801735,0.3274282540171986,False
820,4,37,111.92634156392664,0.31978954092971373,False
512,4,40,135.0630460437249,0.3858944095498971,False
176,4,43,128.32308064212108,0.3666373659304556,False
691,4,44,134.65544092757938,0.3847298235270587,False
645,4,48,143.8376102302969,0.4109645924386991,False
874,4,57,117.05500740631098,0.3344428716148881,False
439,4,58,103.17827131291712,0.2947950549981477,False
849,4,70,61.190648288530674,0.17483042018490774,False
673,4,83,102.89889303748986,0.29399683137003424,False
294,4,84,122.87463527929052,0.3510703794908509,False
624,4,86,111.64892347153514,0.3189969178244476,False
921,4,91,79.68368357504421,0.22766766280391584,False
655,4,92,75.30695765426574,0.21516273185179027,False
904,5,9,35.20614075170859,0.10058897156453077,False
395,5,20,74.77979897784208,0.21365656423498885,False
717,5,27,103.12688615138822,0.2946482402538586,False
835,5,32,105.68760073788732,0.3019645674975294,False
235,5,36,111.84052431087225,0.3195443487830336,False
535,5,39,134.8585434390637,0.38531011640540813,False
937,5,43,134.15009694458257,0.3832859836045161,False
462,5,47,143.79079058348432,0.41083082202191,False
848,5,48,150.06662146927377,0.42876176705126096,False
776,5,53,103.14214430941927,0.29469183499021817,False
891,5,54,127.44860548426091,0.36413886552939656,False
510,5,58,122.65024259604385,0.35042925755154,False
959,5,61,134.27883944212581,0.38365381930442577,False
846,5,63,160.16941615490305,0.45762689414718494,False
864,5,76,90.1494240854422,0.2575697779498678,False
515,5,79,112.37129925220859,0.32106084858509315,False
672,5,80,124.60817954357172,0.3560233630040232,False
522,5,81,127.5436330575073,0.3644103728760989,False
187,5,89,127.93142074968131,0.36551833768872255,False
739,6,10,99.93099910646174,0.2855171345938336,False
578,6,12,35.447253576956314,0.10127786533717498,False
311,6,15,103.26058100533493,0.29503022554320946,False
59,6,16,50.28941187512825,0.14368403105525718,False
163,6,19,90.41484834359274,0.2583281329579879,False
777,6,32,125.22196316478022,0.35777703045811704,False
289,6,41,151.18463981042646,0.43195610510495336,False
665,6,47,145.87259430754855,0.4167788325431333,False
501,6,48,134.88307196675152,0.38538019791168593,False
798,6,57,79.30124847683763,0.2265749911166076,False
316,6,61,70.92157856606937,0.20263307756467944,False
836,6,66,105.59687440289046,0.3017053494027228,False
539,6,77,134.7882441342658,0.38510926125285977,False
742,6,79,134.75582861200152,0.38501664547681413,False
198,6,82,93.46220916947924,0.26703487800067155,False
711,6,85,103.2267613612017,0.29493359799047564,False
829,6,90,83.04886489459267,0.23728246638175818,False
881,6,94,75.15628346077881,0.21473223416472323,False
215,7,11,35.273610229184754,0.10078174149632156,False
122,7,13,35.09817343072442,0.10028049351074558,False
52,7,17,50.07061167491575,0.1430588876385815,False
920,7,19,70.29125987580984,0.20083216705709897,False
296,7,22,75.15704923843239,0.2147344221008326,False
337,7,26,127.55848801495677,0.36445281561082,False
815,7,36,127.05107679517738,0.3630030692975881,False
770,7,41,134.18343081144425,0.3833812232222161,False
504,7,43,114.62047326982099,0.32748705993546146,False
749,7,54,78.80399777222512,0.22515427484612904,False
308,7,61,74.95115158198256,0.21414614309417007,False
724,7,68,109.07068449448325,0.31163052089448445,False
800,7,71,105.95879325760312,0.30273940325264925,False
948,7,79,117.12797769453118,0.33465135814849034,False
381,7,80,129.84972397521418,0.3709992039377705,False
179,7,82,82.96827791878049,0.23705221788404265,False
199,7,87,106.65359336139407,0.3047245463666349,False
193,7,89,117.60365903446294,0.33601044766397076,False
860,8,13,24.98044847778054,0.07137270850906163,False
204,8,14,35.36683280964116,0.10104809172087001,False
394,8,19,55.8474245994357,0.1595640670928206,False
372,8,22,78.89859001662587,0.2254245383961545,False
651,8,28,102.30971492389466,0.2923134653648582,False
166,8,31,111.98646764748037,0.3199613297364315,False
517,8,35,111.48558504070364,0.31853023660283414,False
641,8,40,113.91108926966399,0.32546024854697775,False
399,8,49,127.6284589865231,0.3646527326684398,False
364,8,57,93.41835913768372,0.2669095921980473,False
66,8,58,74.9632241774313,0.21418063622333375,False
57,8,61,86.91794716564326,0.24833698693509804,False
582,8,66,61.167962169712624,0.1747656027038668,False
214,8,71,90.35274374724558,0.25815069125768775,False
745,8,73,75.0252194882214,0.21435776567919143,False
146,8,81,82.90684953694749,0.23687670822517284,False
737,8,85,89.96909696072638,0.25705455760384127,False
740,8,91,78.72669211200028,0.2249334015356184,False
130,8,94,55.95461179271579,0.159870316210353,False
966,9,15,35.20294637475031,0.10057984477340394,False
604,9,17,70.63800880682393,0.20182287826875359,False
346,9,22,90.43018132789497,0.2583719414836896,False
949,9,23,79.23885102255495,0.22639671267936554,False
616,9,27,102.83789345668804,0.2938225468569433,False
721,9,30,127.35486254623524,0.3638710285689657,False
722,9,38,105.70033141652338,0.30200094086433354,False
980,9,41,114.4610990389452,0.3270317049992092,False
412,9,46,127.66388853462375,0.3647539599467028,False
79,9,66,43.21267556882133,0.12346478487019377,False
332,9,70,55.94997861431099,0.1598570785580326,False
256,9,77,93.44571328985914,0.26698774691698535,False
635,9,79,94.04053948215267,0.2686872502895482,False
520,9,82,83.12433447061882,0.23749809373752037,False
910,9,84,103.16606195477397,0.29476017111843633,False
106,9,90,93.81405778773284,0.2680401597470048,False
551,9,91,82.79966405152373,0.23657046398722986,False
605,9,93,75.0466685765302,0.2144190487874195,False
99,9,94,61.57606452825762,0.17593160941924665,False
936,10,23,89.97798677779744,0.25707995708067916,False
496,10,26,102.89280483010886,0.2939794364921507,False
875,10,29,127.22282518699372,0.36349377897867774,False
288,10,36,103.31830574874277,0.295195153378219,False
818,10,50,160.04525739457347,0.4572721548390523,False
801,10,53,106.02073439467789,0.3029163779264663,False
350,10,57,127.8460447252041,0.3652744061950948,False
367,10,59,106.19141907715769,0.3034040484380838,False
647,10,69,25.07458643065088,0.07164167408331186,False
72,10,73,55.654300155148356,0.159012282977321,False
69,10,75,55.88740697501475,0.15967830244933318,False
923,10,77,89.70622218955458,0.2563034868440861,False
872,10,87,130.01242004055965,0.3714640498294607,False
968,10,88,117.1989172220414,0.3348540425087516,False
750,10,92,82.64759107600818,0.23613596978016102,False
383,10,93,93.85849326937979,0.2681671182634569,False
700,10,94,75.06835628534894,0.2144810136685195,False
62,11,18,55.74622837762532,0.15927493503628784,False
489,11,20,103.27593151922567,0.29507408415344866,False
699,11,26,149.58855280958434,0.42739585662232366,False
484,11,27,135.1644405328446,0.3861841080844451,False
806,11,28,122.16907698707558,0.3490544986962687,False
924,11,30,112.00291086261642,0.3200083103501663,False
529,11,31,143.48161501849086,0.409947463282453,False
843,11,34,106.16790453329469,0.3033368640283903,False
710,11,40,99.93170809710918,0.2855191602813572,False
435,11,46,149.9675222893596,0.4284786265428833,False
663,11,55,55.995458067741225,0.15998701985094874,False
702,11,57,75.00561466400922,0.21430175189684833,False
86,11,61,56.03763125142498,0.16010751465906387,False
76,11,65,55.78487207068969,0.15938534558569212,False
825,11,70,114.22656094585182,0.3263615961752017,False
443,11,78,114.69615317595456,0.3277032882343757,False
273,11,85,86.7490413757117,0.24785439897351677,False
967,12,13,25.021421160736704,0.07148977331516652,False
279,12,21,55.90232023743316,0.15972091176967643,False
88,12,24,70.71627455442582,0.20204649468600094,False
738,12,33,106.30128419859163,0.30371794877875985,False
952,12,34,103.26324732783996,0.2950378436073572,False
930,12,37,111.68749406040847,0.31910711950473886,False
783,12,44,102.68283338213392,0.2933795180813636,False
73,12,45,107.00135228316054,0.3057181432660957,False
139,12,47,122.94898157057234,0.35128279746169344,False
895,12,54,83.19939670850756,0.23771255727005608,False
934,12,57,79.23203366235376,0.22637723450775168,False
413,12,60,82.40511414312071,0.23544317855719551,False
203,12,63,93.85564125594402,0.2681589696538034,False
250,12,64,74.88046595270728,0.21394418415742275,False
32,12,81,55.92572293863151,0.15978777662890584,False
205,12,86,86.77499321124408,0.24792854707355488,False
569,12,88,93.48851970509195,0.26711005095806156,False
905,12,90,90.16961154224799,0.25762745639673074,False
36,13,17,35.477471482651744,0.10136420220886376,False
125,13,19,35.243481764065315,0.10069566016913051,False
401,13,26,122.59220954690088,0.35026344884301913,False
963,13,27,114.46706156811369,0.32704874079649277,False
768,13,28,112.17279282503164,0.32049368737593076,False
608,13,29,114.76784562130045,0.32790812378841006,False
145,13,32,106.66315736080603,0.3047518720786939,False
603,13,38,100.04688454386478,0.2858482358369345,False
257,13,43,103.51091758585795,0.2957454729018274,False
450,13,46,122.61969378606558,0.350341975239062,False
491,13,47,114.57022075685552,0.3273434813298603,False
810,13,63,103.06520854458036,0.29447201852364624,False
894,13,70,75.02025782466947,0.21434358949789806,False
262,13,76,75.30178644060832,0.2151479569559217,False
93,13,83,60.87085309792701,0.17391671965859987,False
866,13,90,93.28626654988022,0.26653218481187113,False
915,13,93,75.01212743931522,0.21432035982592193,False
67,14,20,35.288850964535065,0.10082528645359443,False
586,14,21,90.42417810630387,0.25835478942234374,False
792,14,23,56.028922537823796,0.160082632620701,False
633,14,26,114.35291790227225,0.3267226160434683,False
676,14,34,114.64952771017695,0.32757007262053256,False
468,14,35,127.76550923420147,0.3650443047968322,False
951,14,39,111.37689891759265,0.31821970482872763,False
675,14,42,103.14067067586667,0.2946876246087236,False
562,14,52,102.75342362283781,0.29358120447934094,False
581,14,54,109.12119906502788,0.31177484823601115,False
764,14,62,82.91420379083551,0.2368977203787184,False
817,14,63,117.20883735785657,0.33488238575337087,False
758,14,65,93.14950084687088,0.266141425668231,False
231,14,66,61.30440751323743,0.17515544653471224,False
191,14,69,43.441605421182324,0.12411887014957203,False
919,14,73,56.18213720346879,0.160520388799503,False
380,14,80,93.47687509788665,0.2670767806524261,False
485,14,88,94.00235790430445,0.2685781600693065,False
365,14,96,75.01103400934589,0.21431723574035774,False
236,15,17,79.02667779185293,0.2257905034609125,False
259,15,27,114.41144273141336,0.32688982983767,False
564,15,30,149.7999182651015,0.42799975791172323,False
297,15,35,143.78148841140975,0.41080424438794283,False
657,15,40,140.77234260735025,0.40220668511972396,False
131,15,43,114.76030246448414,0.3278865719122231,False
478,15,45,143.36076556203957,0.40960217912806934,False
583,15,49,134.66627975651937,0.3847607916091251,False
720,15,50,149.58026457374078,0.42737217594895854,False
56,15,61,115.15611540278155,0.32901746599902637,False
970,15,63,133.8305014467922,0.3823728536290919,False
206,15,65,114.57915415101587,0.3273690053126651,False
97,15,71,79.26154597365255,0.22646155539549034,False
514,15,86,75.0669380637256,0.21447696160681956,False
159,15,97,74.98839065739836,0.21425254045037295,False
114,16,19,75.03173784170255,0.21437638954590796,False
41,16,21,24.965242038798323,0.07132926154140995,False
252,16,24,78.91475746132235,0.2254707310943634,False
513,16,29,127.3918330693526,0.3639766586329027,False
822,16,35,111.75325551312979,0.31929500936589905,False
658,16,38,114.31024892122424,0.3266007046714836,False
60,16,44,103.78017157511832,0.2965147699986139,False
811,16,47,126.76902608554474,0.36219721014332634,False
847,16,49,106.08882849159416,0.3031109324851931,False
802,16,53,79.20000481933447,0.22628572352952678,False
304,16,54,90.68261725259778,0.25909318696841555,False
454,16,68,145.84985056183194,0.4167138504138141,False
840,16,70,122.05515184629738,0.34872899830055526,False
103,16,79,114.98596583197464,0.32853132437787236,False
21,16,82,61.48132893637096,0.17566093630498394,False
366,16,83,82.50802296323221,0.23573720375163357,False
223,16,85,75.16496528505135,0.21475703937643442,False
779,16,91,117.08029061400795,0.3345151093497204,False
355,16,95,116.88696235111166,0.3339627428953498,False
495,17,20,74.94517739860905,0.21412907399915856,False
419,17,29,124.67687831426278,0.356219645202072,False
976,17,40,105.24052574856569,0.30068721041072904,False
110,17,47,115.17457314167183,0.32907020239480106,False
766,17,48,105.77926657725205,0.3022264698904763,False
356,17,50,106.66449383862597,0.30475569058667457,False
613,17,53,82.98575146745495,0.23710214230782833,False
361,17,56,61.222819445257194,0.17492233777371657,False
194,17,59,43.35515465323773,0.12387186796038467,False
640,17,63,82.93989739919724,0.2369711306868551,False
715,17,72,82.51573057660634,0.23575922550369066,False
230,17,80,108.8875415215893,0.3111072552681099,False
80,17,83,61.18423926098122,0.1748121086779898,False
184,17,90,105.93084988910476,0.3026595650585365,False
580,17,96,78.71045090520435,0.22488699808855808,False
334,17,98,93.30138432321222,0.2665753784490987,False
913,18,24,35.36305394653709,0.10103729496936004,False
391,18,29,127.40054549561174,0.3640015512788595,False
652,18,45,111.68349998592754,0.319095707863593,False
525,18,48,103.17285534854537,0.29477958081453787,False
880,18,50,114.43051578880501,0.3269443242862705,False
683,18,51,117.29049601044862,0.335115696184682,False
483,18,53,93.86326446468394,0.26818075024976756,False
265,18,57,93.85048049467191,0.2681442246218923,False
197,18,60,89.97127442282174,0.25706077892398926,False
516,18,62,56.03796984393642,0.16010848206622005,False
542,18,70,86.77388427217659,0.2479253786762826,False
574,18,76,70.71929747913723,0.20205513161357505,False
615,18,79,75.16124108251043,0.21474639879795887,False
196,18,80,93.4602685742667,0.26702933344303237,False
251,18,81,43.28112655395831,0.1236603591095308,False
53,18,82,35.580330761871224,0.10165808585789889,False
610,18,93,93.41127027729867,0.2668893383116379,False
190,18,94,90.27678193209826,0.2579336575044646,False
210,19,22,55.80883616313708,0.1594538144198867,False
170,19,29,134.94748021336184,0.3855642214697492,False
890,19,33,113.84691310519534,0.3252768880807345,False
390,19,39,114.50759941113633,0.3271645632028124,False
351,19,40,127.3514209059803,0.3638611953112911,False
950,19,49,114.4290632368242,0.32694017413783694,False
859,19,57,108.51604401761888,0.3100458338494228,False
404,19,60,105.67746055800794,0.30193559555559635,False
532,19,62,79.07074569277927,0.2259164117467553,False
171,19,74,82.8580037653374,0.23673714888050665,False
781,19,79,61.1889698234677,0.174825624570538,False
943,19,85,61.20190826426964,0.1748625915435185,False
897,20,22,79.0232248879942,0.22578063802151344,False
414,20,33,122.48945993989753,0.34996987854316663,False
845,20,34,134.34949166537427,0.38385568279538407,False
458,20,36,102.89576964944918,0.29398790740438224,False
796,20,40,143.3622085082903,0.4096063018315604,False
816,20,45,141.40712289008175,0.4040203430341122,False
500,20,49,128.23392457525583,0.3663826343159352,False
599,20,53,128.14965798172216,0.36614187262493997,False
229,20,58,114.95188324330442,0.3284339455550479,False
842,20,59,106.3316746985858,0.30380477877700657,False
703,20,64,114.60608076927517,0.327445938506153,False
226,20,68,105.91146795753247,0.30260418811229456,False
89,20,77,74.96208445319267,0.21417737986843138,False
589,20,79,55.96691375204997,0.15990546466489056,False
